"ID","SO_HOP_DONG","NGAY_KY","NGAY_HIEU_LUC","NGAY_KET_THUC","SO_PHU_LUC","ISACTIVE","GHI_CHU"
19811,"01/MLMN-MIS-Relocation",21-03-2019,21-03-2019,31-12-2024,"02",2,""
22068,"01/MLMN-MIS2-RELOCATION",22-10-2021,01-01-2022,31-12-2026,"PL04-01/MLMN-MIS2-RELOCATION",2,""
20456,"02/2018/MLMN-GTI",16-10-2019,01-01-2020,31-12-2022,"PL03-02/2018/MLMN-GTI",2,""
20505,"03/MLMN-GII",10-03-2020,01-07-2019,31-12-2023,"PL01-03/MLMN-GII",2,""
20690,"06/MLMN-HL",31-12-2019,31-12-2019,30-06-2024,"PL02-06/MLMN-HLT",2,"điều chỉnh và bổ sung điều khoản HĐ"
22627,"296-21/TT.MLMN-ĐVTT",09-11-2022,01-01-2023,31-12-2023,"296-21/TT.MLMN-ĐVTT",2,""
19936,"1610/HĐ.2018/MLMN-TDIS",20-01-2019,20-01-2019,15-01-2024,"02",2,""
22647,"272/TTMLMN/ĐVTT",27-11-2022,28-11-2022,30-11-2023,"272/TTMLMN/ĐVTT",2,""
22610,"319-21/TT.MLMN-ĐVTT",15-11-2022,15-11-2022,30-11-2023,"319-21/TT.MLMN-ĐVTT",2,""
23107,"472-18/TTMLMN/ĐVTT",24-05-2023,25-05-2023,24-11-2023,"1283/PLHĐ-MLMN-ĐVTT",2,""
23129,"396/TT.MLMN-ĐVTT",14-04-2023,15-04-2023,31-10-2023,"1265 /PLHĐ-MLMN-ĐVTT ",2,""
19876,"01/MLMN-GII-Relocation",01-02-2019,01-02-2019,31-01-2023,"Số: 01/MLMN-GII-RELOCATION",2,""
20508,"01/MLMN-VNC55-Relocation",14-03-2019,08-03-2019,31-12-2023,"PL02-01/MLMN-VNC55-Relocation",2,""
21989,"249-20/TT.MLMN-ĐVTT",31-05-2021,20-08-2022,19-08-2023,"249-20/TT.MLMN-ĐVTT",2,"PHỤ LỤC 01 NĂM"
22807,"336/TTMLMN/ĐVTT",12-01-2023,01-02-2023,31-07-2023,"946/PLHĐ-MLMN-ĐVTT",2,"PL 06 THÁNG"
23077,"459-18/TT.MLMN-ĐVTT",14-04-2023,15-04-2023,31-07-2023,"1284/PLHĐ-MLMN-ĐVTT",2,""
22127,"133-20/TT.MLMN-ĐVTT",25-05-2022,01-07-2022,30-06-2023,"133-20/TT.MLMN-ĐVTT",2,"PHỤ LỤC 01 NĂM"
22869,"343-21/TT.MLMN-ĐVTT",09-03-2023,01-04-2023,30-06-2023,"1127/PLHĐ-MLMN-ĐVTT ",2,"PL 03 THÁNG"
22153,"111/TTMLMN/ĐVTT",14-05-2022,15-05-2022,14-05-2023,"111/TTMLMN/ĐVTT",2,"PHỤ LỤC 01 NĂM"
22767,"315/TT.MLMN-ĐVTT",17-01-2023,01-02-2023,30-04-2023,"949/PLHĐ-MLMN-ĐVTT",2,""
22808,"46/VMS.C2/ĐVT-T",14-09-2022,15-09-2022,31-03-2023,"1123/PLHĐ-MLMN-ĐVTT",2,""
21328,"2018/MLMN-MTOWER",30-07-2021,01-07-2021,30-09-2021,"PL02-2018/MLMN-MTOWER",2,""
22407,"2103/MLMN-MISII",06-04-2022,01-07-2022,30-06-2026,"PL02-2103/MLMN-MISII",2,""
18792,"860/HĐ-MB-MLMN-ĐVTBD/2017",14-05-2028,15-11-2017,14-05-2022,"860/HĐ-MB-MLMN-ĐVTBD/2017_PL01",2,""
22107,"2101/MLMN-VNTELECOM",18-02-2022,01-03-2022,28-02-2027,"PL02-2101/MLMN-VNTELECOM",2,""
21529,"01/2018/MLMN-VIETNAMBTS",14-09-2021,01-01-2022,31-12-2026,"PL04-01/2018/MLMN-VIETNAMBTS",2,""
20527,"0111/HĐ.2018/MLMN-KĐ.TDIS",18-10-2019,01-01-2020,31-12-2021,"PL01-0111/HĐ.2018/MLMN-KĐ.TDIS",2,""
20460,"02/MLMN-GII",14-10-2019,01-01-2020,31-12-2021,"PL03-02/MLMN-GII",2,""
21729,"10-2018/MLMN-DTTELECOM",10-06-2021,01-01-2022,31-12-2026,"PL03-10-2018/MLMN-DTTELECOM",2,""
21991,"10/2018/MLMN-Mts.,jsc",21-12-2021,16-12-2021,16-12-2021,"PL04-10/2018/MLMN-Mts.jsc",2,""
21931,"1507/MLMN-THAP VANG BTS",23-11-2021,01-01-2022,31-12-2026,"PL03-1507/MLMN-THAPVANG BTS",2,""
20459,"1510/HĐ.2018/MLMN-TDIS",08-10-2019,01-01-2020,31-12-2021,"PL02-1510/HĐ.2018/MLMN-TDIS",2,""
21620,"1907/MLMN-VITECHCOM",10-09-2021,01-01-2022,31-12-2026,"PL04-1907/MLMN-HITEKLINK",2,""
22029,"191/MLMN-CNVOIP",21-12-2021,01-01-2022,31-03-2022,"PL02-191/MLMN-CNVOIP",2,""
22048,"1914/MLMN-VOIP",23-12-2021,01-01-2022,31-12-2026,"PL03-1914-MLMN-VOIP",2,""
21530,"2009/MLMN-VIETNAMBTS",14-09-2021,01-01-2022,31-12-2026,"PL02-2009/MLMN-VIETNAMBTS",2,""
22028,"903A/HĐ.2018/MLMN-VOIP",21-12-2021,01-01-2022,31-03-2022,"PL04-903a/MLMN-CNVOIP",2,""
20630,"951/HĐ",19-06-2020,11-09-2019,31-12-2020,"951-196/PLHĐ-MIDC/2020",2,"Gia hạn HĐ"
20667,"996A/MLMN-MOBIFONE SERVICE",05-05-2020,01-07-2020,31-12-2021,"0505/PLHD 1",2,"Trả lại giá cũ sau COVID"
19349,"1189",25-06-2018,01-12-2016,01-12-2021,"189/PLHĐ-BHT2",2,""
20223,"1906/MLMN-MT",01-01-2020,01-01-2020,30-06-2021,"233/PL",2,"TRẠM KG 233 ĐÃ DI DỜI XONG"
21309,"1910/MLMN-GTI",25-05-2021,01-07-2021,30-06-2021,"PL02-1910/MLMN-GTI",2,""
21750,"19100/MLMN-VTDĐ-DD",10-06-2021,01-07-2021,30-06-2026,"PL01-19100/MLMN-VTDĐ",2,""
